,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),,
846,196.537,37.8967,32.2238,7.6502,2.0541,,
847,196.77,37.8207,31.7893,7.7068,2.0362,,
848,197.003,37.7762,32.0795,7.7395,2.0431,,
849,197.236,37.802,32.0325,7.7068,2.0209,,
850,197.469,37.7865,31.92,7.6864,2.0403,,
851,197.702,37.8106,31.9213,7.712,2.0298,,
852,197.935,37.7693,31.9573,7.6812,2.0391,,
853,198.168,37.8674,32.0513,7.7391,2.0395,,
854,198.402,37.8386,31.8793,7.725,2.0416,,
855,198.635,37.8812,32.794,7.7183,2.0177,,
856,198.87,37.8735,32.5581,7.6429,2.05,,
857,0,37.6205,31.9964,7.6553,2.0266,,
858,0.233,37.7223,32.0763,7.6877,2.0528,,
859,0.466,37.7444,32.105,7.6215,2.0381,,
860,0.699,37.926,32.0167,7.7473,2.0228,,
861,0.932,37.9634,32.0965,7.6712,2.0462,,
862,1.165,37.7607,32.0609,7.7336,2.0381,,
863,1.398,37.9596,32.2357,7.7226,2.0231,,
864,1.631,38.0154,32.2628,7.7818,2.0321,,
865,1.864,37.8343,32.025,7.7064,2.0414,,
866,2.097,37.8411,32.1406,7.6407,2.0328,,
867,2.33,38.0227,32.1904,7.7622,2.0435,,
868,2.563,37.9667,32.1949,7.8085,2.0388,,
869,2.796,38.0074,32.1302,7.6486,2.0451,,
870,3.03,38.0804,32.1559,7.6872,2.0299,,
871,3.263,37.7648,31.992,7.7016,2.0426,,
872,3.496,38.0141,31.9777,7.7135,2.0368,,
873,3.729,37.9294,32.0015,7.7372,2.0459,,
874,3.962,38.0442,32.0676,7.6778,2.0295,,
875,4.195,37.6714,31.9319,7.6237,2.0269,,
876,4.428,38.0384,32.0286,7.6557,2.047,,
877,4.661,37.7698,32.1525,7.6198,2.0392,,
878,4.894,37.5869,31.7749,7.7762,2.041,,
879,5.127,38.021,32.1589,7.6494,2.0326,,
880,5.36,37.6592,31.8351,7.7662,2.0467,,
881,5.593,37.8416,31.8487,7.6693,2.0375,,
882,5.826,37.7263,31.8144,7.6649,2.0335,,
883,6.06,37.8835,31.9522,7.5112,2.0267,,
884,6.293,37.8683,32.0116,7.641,2.0436,,
885,6.526,37.9841,32.1746,7.6433,2.031,,
886,6.759,37.7452,31.8572,7.6173,2.0243,,
887,6.992,37.7902,32.105,7.6916,2.0409,,
888,7.225,37.7359,31.7825,7.6652,2.0295,,
889,7.458,37.8303,31.8555,7.6065,2.0475,,
890,7.691,37.9412,32.2051,7.7367,2.0181,,
891,7.924,37.9414,31.9592,7.6423,2.0402,,
892,8.157,37.9548,32.015,7.7475,2.0243,,
893,8.39,38.0448,32.1415,7.6102,2.0368,,
894,8.623,37.7711,32.049,7.7155,2.0337,,
895,8.856,37.7022,31.9892,7.6669,2.035,,
896,9.09,37.926,31.9064,7.6792,2.0322,,
897,9.323,37.8852,32.0167,7.6541,2.0477,,
898,9.558,37.8343,32.0524,7.686,2.0482,,
899,9.791,37.8564,32.1508,7.7014,2.0342,,
900,10.024,37.8638,31.8895,7.6797,2.035,,
901,10.257,37.673,31.7707,7.7283,2.026,,
902,10.49,37.6658,31.7809,7.6242,2.0139,,
903,10.723,37.8021,31.9539,7.7142,2.0114,,
904,10.956,37.857,31.92,7.684,2.0194,,
905,11.189,37.9862,32.1831,7.6364,2.0411,,
906,11.422,37.9209,32.1152,7.7914,2.0314,,
907,11.655,37.8605,32.1016,7.7415,2.0293,,
908,11.888,37.7865,31.9723,7.8021,2.0315,,
909,12.121,38.0346,31.9811,7.6824,2.0448,,
910,12.354,37.8313,32.1772,7.7934,2.0435,,
911,12.588,37.6196,31.8946,7.7658,2.0437,,
912,12.821,37.7121,31.9743,7.6635,2.0343,,
913,13.054,37.7792,32.0083,7.5783,2.0531,,
914,13.287,37.6695,31.7995,7.7191,2.0333,,
915,13.52,37.7886,32.1814,7.5541,2.0387,,
916,13.753,37.78,31.8474,7.7473,2.0379,5.9326,
917,13.986,37.7406,31.8657,7.6159,2.0385,5.8749,
918,14.219,37.6731,31.8905,7.4939,2.0557,5.7826,
919,14.452,38.0023,32.1772,7.4979,2.0453,5.8251,
920,14.685,37.8347,31.9947,7.7491,2.0505,5.84,
921,14.918,37.6816,31.8067,7.6533,2.0387,5.8749,
922,15.151,37.8547,31.9507,7.7124,2.0448,5.904,
923,15.384,37.8513,31.9573,7.609,2.0413,5.894,
924,15.618,37.8002,31.9472,7.6289,2.024,5.853,
925,15.851,37.9548,32.0264,7.7096,2.0228,5.9284,
926,16.086,37.5817,32.0727,7.6207,2.0516,5.509,
927,16.319,37.6953,31.8301,7.7014,2.0151,5.8652,
928,16.552,37.7959,31.9573,7.6485,2.0601,5.8386,
929,16.785,37.7138,31.9025,7.5568,2.0432,5.8113,
930,17.018,37.7138,32.0761,7.7275,2.0337,5.6377,
931,17.251,37.9446,32.032,7.7072,2.0152,5.9126,
932,17.484,37.6251,31.881,7.8488,2.025,5.7441,
933,17.717,37.7711,32.1423,7.7255,2.0249,5.6288,
934,17.95,37.9022,32.0268,7.7914,2.0387,5.8754,
935,18.183,38.0206,32.0015,7.9685,2.0494,6.0191,
936,18.416,37.9965,31.9084,8.1325,2.037,6.0881,
937,18.649,38.0636,31.9285,8.5716,2.0265,6.1351,
938,18.882,38.2246,31.9028,8.943,2.0342,6.3218,
939,19.116,38.5403,31.9008,9.4594,2.0259,6.6395,
940,19.349,38.678,31.8284,9.9863,2.0247,6.8496,
941,19.582,39.0349,31.8962,10.7645,2.0104,7.1387,
942,19.815,39.0756,31.2938,11.5786,2.0463,7.7818,
943,20.048,39.3749,31.3108,12.308,2.0234,8.0641,
944,20.281,39.733,31.2021,13.0306,2.0277,8.5309,
945,20.514,40.2092,31.0155,13.7511,2.0393,9.1937,
946,20.747,40.5745,30.8882,14.5264,2.0314,9.6863,
947,20.98,40.9566,30.3895,15.5966,2.0289,10.5671,
948,21.213,41.6175,30.0006,16.4258,2.0251,11.6169,
949,21.446,42.1502,29.9308,17.1041,2.0335,12.2194,
950,21.679,42.7585,29.7616,17.9398,2.0413,12.9969,
951,21.912,43.3488,29.5661,18.674,2.0465,13.7827,
952,22.146,43.5312,29.6222,18.7506,2.0308,13.909,
953,22.379,43.4681,29.4643,18.8212,2.0406,14.0038,
954,22.614,43.5105,29.483,18.7023,2.0375,14.0275,
955,22.847,43.3849,29.388,18.7723,2.0274,13.9969,
956,23.08,43.5159,29.6035,18.7997,2.0265,13.9124,
957,23.313,43.6017,29.5916,18.7771,2.0312,14.0101,
958,23.546,43.5193,29.5577,18.8687,2.0248,13.9616,
959,23.779,43.4813,29.4219,18.8851,2.0483,14.0594,
960,24.012,43.6628,29.7919,18.8073,2.0397,13.8709,
961,24.245,43.7119,29.7223,18.9948,2.0355,13.9896,
962,24.478,43.4451,29.3763,18.9645,2.0343,14.0688,
963,24.711,43.5973,29.7715,18.8889,2.02,13.8258,
964,24.944,43.5243,29.6951,18.8487,2.0358,13.8292,
965,25.177,43.5002,29.5654,18.7511,2.0313,13.9348,
966,25.41,43.6241,29.7887,18.7865,2.038,13.8354,
967,25.644,43.5009,29.6859,18.8621,2.0489,13.815,
968,25.877,43.6672,29.7031,18.8101,2.0168,13.9641,
969,26.11,43.6038,29.5492,18.9569,2.0227,14.0546,
970,26.343,43.6155,29.5475,18.8215,2.0317,14.068,
971,26.576,43.5255,29.6867,18.9174,2.0152,13.8388,
972,26.809,43.5054,29.6731,18.8419,2.0383,13.8323,
973,27.042,43.6095,29.6782,18.8412,2.037,13.9313,
974,27.275,43.4159,29.4711,18.9761,2.0425,13.9448,
975,27.508,43.3109,29.6451,18.8448,2.0185,13.6658,
976,27.741,43.6379,29.6635,18.8117,2.0243,13.9744,
977,27.974,43.5329,29.6417,18.8787,2.05,13.8912,
978,28.207,43.3522,29.593,18.8845,2.0393,13.7592,
979,28.44,43.452,29.4609,18.8679,2.0356,13.9911,
980,28.674,43.5415,29.5611,18.8105,2.0245,13.9804,
981,28.907,43.5226,29.6154,18.8747,2.0348,13.9072,
982,29.142,43.4692,29.4711,18.7638,2.0332,13.9981,
983,29.375,43.4107,29.5526,18.7227,2.023,13.8581,
984,29.608,43.2983,29.3201,18.6868,2.0544,13.9782,
985,29.841,43.3092,29.4728,18.7082,2.0424,13.8364,
986,30.074,43.4816,29.7155,18.7067,2.0309,13.7661,
987,30.307,43.2834,29.3931,18.7554,2.0274,13.8903,
988,30.54,43.2849,29.469,18.7558,2.0305,13.8159,
989,30.773,43.5174,29.8954,18.7945,2.0321,13.622,
990,31.006,43.4537,29.6958,18.8041,2.0368,13.7579,
991,31.239,43.5976,29.722,18.9089,2.0495,13.8756,
992,31.472,43.5312,29.6996,18.9055,2.0205,13.8316,
993,31.705,43.4503,29.4355,18.925,2.0317,14.0148,
994,31.938,43.3849,29.55,18.8275,2.0214,13.8349,
995,32.172,43.3229,29.612,18.7389,2.0417,13.7109,
996,32.405,43.3866,29.4639,18.8658,2.0442,13.9227,
997,32.638,43.5217,29.6171,18.7566,2.0291,13.9046,
998,32.871,43.674,29.6343,18.7463,2.0383,14.0397,
999,33.104,43.4663,29.5169,18.8975,2.037,13.9494,
1000,33.337,43.3142,29.543,18.796,2.0371,13.7712,
1001,33.57,43.5522,29.5689,18.8058,2.0502,13.9833,
1002,33.803,43.44,29.5237,18.9474,2.0441,13.9163,
1003,34.036,43.5002,29.6451,18.8963,2.027,13.8551,
1004,34.269,43.3608,29.4423,18.8105,2.0363,13.9185,
1005,34.502,43.3642,29.529,18.8471,2.0504,13.8352,
1006,34.735,43.3677,29.4728,18.757,2.0535,13.8949,
1007,34.968,43.3677,29.5793,18.8288,2.0269,13.7884,
1008,35.202,43.4296,29.6001,18.8871,2.0349,13.8295,
1009,35.435,43.23,29.5362,18.7538,2.0237,13.6938,
1010,35.67,43.4382,29.4491,18.8328,2.0365,13.9891,
1011,35.903,43.5346,29.6222,18.8198,2.0424,13.9124,
1012,36.136,43.5675,29.7477,18.8759,2.0304,13.8198,
1013,36.369,43.5054,29.6945,18.8689,2.0198,13.8109,
1014,36.602,43.5751,29.6408,18.8556,2.0434,13.9343,
1015,36.835,43.5673,29.7203,18.9677,2.0523,13.847,
1016,37.068,43.6343,29.7134,18.8322,2.0335,13.9209,
1017,37.301,43.4768,29.5492,18.777,2.0283,13.9276,
1018,37.534,43.752,29.8744,18.8731,2.0475,13.8776,
1019,37.767,43.514,29.6205,18.7838,2.059,13.8935,
1020,38,43.6654,29.6582,18.8081,2.0369,14.0072,
1021,38.233,43.5157,29.6018,18.9063,2.0304,13.9139,
1022,38.466,43.5656,29.7804,18.9138,2.0249,13.7852,
1023,38.7,43.5019,29.8071,18.8807,2.0195,13.6948,
1024,38.933,43.8318,29.8218,18.7584,2.0297,14.01,
1025,39.166,43.6839,29.8037,18.8209,2.0213,13.8802,
1026,39.399,43.631,29.7681,18.7758,2.0204,13.8629,
1027,39.632,43.8252,29.6612,18.8727,2.0479,14.164,
1028,39.865,43.5449,29.7528,18.7973,2.0183,13.7921,
1029,40.098,43.5045,29.5509,18.8424,2.0222,13.9536,
1030,40.331,43.5054,29.5746,18.8763,2.0562,13.9308,
1031,40.564,43.6826,29.7917,18.8791,2.0428,13.8909,
1032,40.797,43.3608,29.5729,18.828,2.0455,13.7879,
1033,41.03,43.5105,29.5901,18.7767,2.027,13.9204,
1034,41.263,43.5518,29.7117,18.8412,2.0229,13.8401,
1035,41.496,43.5187,29.6883,18.9414,2.0433,13.8304,
1036,41.73,43.5122,29.7274,18.84,2.0351,13.7848,
1037,41.963,43.5759,29.7427,18.8727,2.0285,13.8332,
1038,42.198,43.5002,29.5254,18.9381,2.0389,13.9748,
1039,42.431,43.5484,29.6256,18.8449,2.0402,13.9228,
1040,42.664,43.6286,29.6951,18.8671,2.0366,13.9335,
1041,42.897,43.5983,29.6799,18.8931,2.0352,13.9184,
1042,43.13,43.5102,29.5763,18.7826,2.0353,13.9339,
1043,43.363,43.5484,29.6052,18.9716,2.0387,13.9432,
1044,43.596,43.4376,29.6154,18.8288,2.0393,13.8222,
1045,43.829,43.2076,29.5882,18.7159,2.0346,13.6194,
1046,44.062,43.5518,29.7786,18.6554,2.065,13.7732,
1047,44.295,43.5501,29.7936,18.9214,2.0363,13.7565,
1048,44.528,43.4933,29.6451,18.781,2.043,13.8482,
1049,44.761,43.4384,29.7138,18.7375,2.0199,13.7246,
1050,44.994,43.4692,29.4679,18.8237,2.0346,14.0013,
1051,45.228,43.3763,29.4609,18.9757,2.0269,13.9154,
1052,45.461,43.4856,29.5322,18.9336,2.0287,13.9534,
1053,45.694,43.5942,29.7308,18.8404,2.029,13.8634,
1054,45.927,43.3625,29.6782,18.8851,2.0367,13.6843,
1055,46.16,43.4548,29.7698,18.8109,2.0431,13.685,
1056,46.393,43.3956,29.5138,18.7209,2.0455,13.8818,
1057,46.626,43.2047,29.4484,18.7279,2.0335,13.7563,
1058,46.859,43.2865,29.6985,18.6604,2.0321,13.588,
1059,47.092,43.4623,29.6094,18.7814,2.0306,13.8529,
1060,47.325,43.4864,29.7444,18.7965,2.0336,13.742,
1061,47.558,43.5312,29.5586,18.7706,2.0468,13.9726,
1062,47.791,43.5432,29.7019,18.866,2.0503,13.8413,
1063,48.024,43.6723,29.521,18.8815,2.0457,14.1513,
1064,48.258,43.5535,29.7019,18.834,2.033,13.8516,
1065,48.491,43.3281,29.5051,18.8608,2.0371,13.823,
1066,48.726,43.3143,29.4847,18.8233,2.0195,13.8296,
1067,48.959,43.2283,29.5826,18.7728,2.0276,13.6457,
1068,49.192,43.5427,29.6765,18.7802,2.0356,13.8662,
1069,49.425,43.489,29.668,18.9575,2.044,13.821,
1070,49.658,43.4713,29.6033,18.856,2.041,13.868,
1071,49.891,43.2971,29.3262,18.6848,2.0458,13.9709,
1072,50.124,43.2773,29.5792,18.6964,2.0397,13.6981,
1073,50.357,43.4744,29.7494,18.779,2.0412,13.725,
1074,50.59,43.631,29.6958,18.8168,2.0227,13.9352,
1075,50.823,43.5639,29.7308,18.765,2.0267,13.8331,
1076,51.056,43.4245,29.741,18.7989,2.0475,13.6835,
1077,51.289,43.3849,29.6137,18.8711,2.0286,13.7712,
1078,51.522,43.4555,29.5718,18.9162,2.0397,13.8837,
1079,51.756,43.4348,29.5967,18.9262,2.056,13.8381,
1080,51.989,43.4004,29.8064,18.7958,2.052,13.594,
1081,52.222,43.3785,29.578,18.6565,2.0269,13.8005,
1082,52.455,43.4021,29.7002,18.6954,2.043,13.7019,
1083,52.688,43.1455,29.3864,18.7678,2.0361,13.7591,
1084,52.921,43.082,29.5516,18.8358,2.0345,13.5304,
1085,53.154,43.3155,29.4508,18.7478,2.0445,13.8647,
1086,53.387,43.2524,29.4019,18.7393,2.0402,13.8505,
1087,53.62,43.3453,29.5849,18.749,2.0427,13.7604,
1088,53.853,43.4245,29.6222,18.6792,2.0155,13.8023,
1089,54.086,43.3773,29.5661,18.7534,2.0282,13.8112,
1090,54.319,43.4795,29.3985,18.8015,2.0222,14.081,
1091,54.552,43.489,29.6658,18.8452,2.0317,13.8232,
1092,54.786,43.3384,29.5662,18.8069,2.0284,13.7722,
1093,55.019,43.4795,29.5713,18.9174,2.0392,13.9082,
1094,55.254,43.526,29.6222,18.9094,2.0345,13.9038,
1095,55.487,43.6147,29.78,18.7439,2.0311,13.8347,
1096,55.72,43.5808,29.5899,18.8137,2.0533,13.9909,
1097,55.953,43.4038,29.6052,18.6823,2.026,13.7986,
1098,56.186,43.4663,29.707,18.8735,2.0277,13.7593,
1099,56.419,43.6706,29.5085,18.9822,2.0584,14.1621,
1100,56.652,43.4976,29.5568,18.855,2.0431,13.9408,
1101,56.885,43.5295,29.7936,18.8372,2.0332,13.7359,
1102,57.118,43.5484,29.6319,18.8912,2.0323,13.9165,
1103,57.351,43.5257,29.8682,18.8388,2.0303,13.6575,
1104,57.584,43.5639,29.6094,18.8735,2.0327,13.9545,
1105,57.817,43.5002,29.78,18.7925,2.0396,13.7202,
1106,58.05,43.2696,29.4195,18.7933,2.0157,13.8501,
1107,58.284,43.3023,29.4656,18.894,2.0222,13.8367,
1108,58.517,43.2954,29.6357,18.6989,2.0358,13.6597,
1109,58.75,43.5026,29.7562,18.7391,2.0488,13.7464,
1110,58.983,43.5312,29.651,18.8339,2.0434,13.8802,
1111,59.216,43.3874,29.5713,18.927,2.0436,13.8161,
1112,59.449,43.3832,29.5551,18.9176,2.0478,13.8281,
1113,59.682,43.4854,29.6595,18.8887,2.0325,13.8259,
1114,59.915,43.3488,29.5848,18.8775,2.038,13.764,
1115,60.148,43.1422,29.3048,18.7718,2.0413,13.8374,
1116,60.381,43.1766,29.6069,18.775,2.0315,13.5697,
1117,60.614,43.1491,29.5793,18.8105,2.0305,13.5698,
1118,60.847,43.4331,29.4202,18.8464,2.0566,14.0129,
1119,61.08,43.5036,29.657,18.9062,2.0285,13.8466,
1120,61.314,43.4124,29.6154,18.8009,2.0278,13.797,
1121,61.547,43.3145,29.5814,18.7023,2.0274,13.7331,
1122,61.782,43.2524,29.5135,18.7051,2.0412,13.7389,
1123,62.015,43.3337,29.522,18.7202,2.0371,13.8117,
1124,62.248,43.1047,29.3279,18.7708,2.0343,13.7768,
1125,62.481,43.2421,29.4898,18.7095,2.0219,13.7523,
1126,62.714,43.346,29.6782,18.7403,2.0207,13.6678,
1127,62.947,43.1371,29.3625,18.7201,2.0422,13.7746,
1128,63.18,43.1417,29.5288,18.759,2.0268,13.6129,
1129,63.413,43.2667,29.5775,18.7351,2.036,13.6892,
1130,63.646,43.3574,29.5361,18.7095,2.0203,13.8213,
1131,63.879,43.3264,29.4915,18.7881,2.0193,13.8349,
1132,64.112,43.2747,29.5586,18.7542,2.0305,13.7161,
1133,64.345,43.2937,29.4677,18.7845,2.0196,13.826,
1134,64.578,43.2954,29.3935,18.6133,2.0355,13.9019,
1135,64.812,43.5054,29.6137,18.7586,2.0363,13.8917,
1136,65.045,43.4864,29.7647,18.8141,2.0215,13.7217,
1137,65.278,43.5255,29.7823,18.7932,2.0298,13.7432,
1138,65.511,43.3453,29.6652,18.8032,2.0391,13.6801,
1139,65.744,43.4224,29.7155,18.6521,2.017,13.7069,
1140,65.977,43.3212,29.5118,18.826,2.0624,13.8094,
1141,66.21,43.1723,29.5138,18.8381,2.0189,13.6585,
1142,66.443,43.3057,29.3489,18.86,2.0398,13.9568,
1143,66.676,43.2599,29.568,18.7043,2.0199,13.6919,
1144,66.909,43.2954,29.6137,18.7646,2.0465,13.6817,
1145,67.142,43.5725,29.8425,18.7219,2.0457,13.73,
1146,67.375,43.5759,29.6799,18.8771,2.025,13.896,
1147,67.608,43.3006,29.7109,18.6628,2.0247,13.5897,
1148,67.842,43.4623,29.6408,18.9071,2.0412,13.8215,
1149,68.075,43.5346,29.8442,18.8318,2.0383,13.6904,
1150,68.31,43.4227,29.4287,18.753,2.0367,13.994,
1151,68.543,43.6602,29.7817,18.6571,2.0351,13.8785,
1152,68.776,43.5827,29.5706,18.7987,2.0479,14.0121,
1153,69.009,43.1698,29.5186,18.7209,2.0426,13.6512,
1154,69.242,43.4625,29.629,18.8432,2.0231,13.8335,
1155,69.475,43.6155,29.7953,18.9509,2.0244,13.8202,
1156,69.708,43.262,29.5254,18.8249,2.0275,13.7366,
1157,69.941,43.2713,29.5475,18.7283,2.0136,13.7238,
1158,70.174,43.2283,29.4797,18.7387,2.0432,13.7486,
1159,70.407,43.1784,29.5356,18.7235,2.0242,13.6428,
1160,70.64,43.23,29.5943,18.6628,2.0396,13.6357,
1161,70.873,43.3719,29.5809,18.6936,2.0323,13.791,
1162,71.106,43.3436,29.6658,18.6912,2.0467,13.6778,
1163,71.34,43.2254,29.5594,18.6189,2.0235,13.666,
1164,71.573,43.0803,29.3727,18.7815,2.0333,13.7076,
1165,71.806,43.1627,29.3167,18.761,2.0352,13.846,
1166,72.039,43.1595,29.4191,18.631,2.0372,13.7404,
1167,72.272,43.1264,29.5305,18.7838,2.0484,13.5959,
1168,72.505,43.4675,29.612,18.6918,2.0322,13.8555,
1169,72.738,43.2315,29.6018,18.7143,2.0454,13.6297,
1170,72.971,43.3987,29.6137,18.6752,2.017,13.785,
1171,73.204,43.4296,29.7071,18.7865,2.0396,13.7225,
1172,73.437,43.44,29.6459,18.7353,2.0312,13.7941,
1173,73.67,43.261,29.6601,18.7678,2.0308,13.6009,
1174,73.903,43.3901,29.724,18.6964,2.0079,13.6661,
1175,74.136,43.409,29.6075,18.773,2.0603,13.8015,
1176,74.37,43.495,29.6816,18.7841,2.0247,13.8134,
1177,74.603,43.6568,29.7545,18.7965,2.0476,13.9023,
1178,74.838,43.2937,29.4372,18.8448,2.0204,13.8565,
1179,75.071,43.4864,29.6256,18.7971,2.0215,13.8608,
1180,75.304,43.5789,29.7087,18.8675,2.0281,13.8702,
1181,75.537,43.4332,29.7664,18.8136,2.0411,13.6668,
1182,75.77,43.1589,29.3675,18.82,2.0441,13.7914,
1183,76.003,43.1956,29.4491,18.8626,2.0207,13.7465,
1184,76.236,43.2639,29.5237,18.7674,2.0337,13.7402,
1185,76.469,43.3315,29.7342,18.7347,2.0296,13.5973,
1186,76.702,43.4985,29.7673,18.7554,2.0293,13.7312,
1187,76.935,43.4761,29.629,18.8137,2.0317,13.8471,
1188,77.168,43.2342,29.6037,18.6457,2.022,13.6305,
1189,77.401,43.1732,29.3421,18.7203,2.043,13.8311,
1190,77.634,43.2094,29.4317,18.8101,2.0284,13.7777,
1191,77.868,43.1103,29.6578,18.6501,2.0306,13.4525,
1192,78.101,43.4468,29.6612,18.8061,2.0371,13.7856,
1193,78.334,43.535,29.78,18.8899,2.0352,13.755,
1194,78.567,43.4709,29.6612,18.8145,2.04,13.8097,
1195,78.8,43.4337,29.7272,18.7432,2.0361,13.7065,
1196,79.033,43.4245,29.741,18.7841,2.0369,13.6835,
1197,79.266,43.2639,29.6222,18.747,2.0442,13.6417,
1198,79.499,43.2747,29.4779,18.6956,2.0346,13.7968,
1199,79.732,43.2352,29.5323,18.6767,2.0318,13.7029,
1200,79.965,43.1312,29.3897,18.7722,2.0397,13.7415,
1201,80.198,43.0046,29.4985,18.7718,2.0438,13.5061,
1202,80.431,43.4176,29.7325,18.7538,2.035,13.6851,
1203,80.664,43.2644,29.4508,18.7617,2.0331,13.8136,
1204,80.898,43.168,29.332,18.7798,2.0494,13.836,
1205,81.131,43.2524,29.5662,18.7247,2.0418,13.6862,
1206,81.366,43.3436,29.7885,18.8711,2.0341,13.5551,
1207,81.599,43.3608,29.668,18.8772,2.023,13.6928,
1208,81.832,43.351,29.5843,18.8384,2.0339,13.7667,
1209,82.065,43.4348,29.5797,18.8975,2.0231,13.8551,
1210,82.298,43.1837,29.3506,18.7822,2.0431,13.8331,
1211,82.531,43.1784,29.4656,18.6261,2.0184,13.7128,
1212,82.764,43.1131,29.5344,18.7538,2.0337,13.5787,
1213,82.997,43.5152,29.7036,18.8404,2.0327,13.8116,
1214,83.23,43.347,29.7917,18.7861,2.037,13.5553,
1215,83.463,43.4227,29.5729,18.8923,2.0304,13.8498,
1216,83.696,43.5776,29.7635,18.8855,2.0325,13.8141,
1217,83.929,43.3247,29.5373,18.8915,2.0365,13.7874,
1218,84.162,43.2851,29.4665,18.8424,2.019,13.8186,
1219,84.396,43.2627,29.5713,18.7818,2.0422,13.6914,
1220,84.629,43.1388,29.4656,18.7902,2.0377,13.6732,
1221,84.862,43.2563,29.3964,18.7383,2.0351,13.8599,
1222,85.095,42.9374,29.225,18.6954,2.0275,13.7124,
