,Unnamed: 0,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi)
0,0,23.629,33.99524090909091,28.803740909090905,141.17452818181818,1.6864090909090912,2.8071590909090904,1369.6384681818179,25.76022272727273,0.0,5.1915
1,1,41.125,33.89925909090909,28.74062272727273,145.70751040000002,0.9456636363636364,2.9044000000000003,1228.8272181818186,25.86301818181818,0.0,5.158636363636365
2,2,51.727,33.95874545454545,28.75165,138.06079127272727,2.3576045454545453,2.7403636363636363,1493.673781818182,25.898777272727276,0.0,5.207095454545454
3,3,61.588,33.89449090909091,28.621204545454546,133.54666734545452,3.1088090909090904,2.643527272727272,1633.0854818181815,25.898745454545452,0.0,5.2732863636363625
4,4,70.211,33.99391818181818,28.66985000000001,128.10446123636365,3.8107136363636367,2.5267818181818185,1760.8565636363635,25.880922727272722,0.0,5.324068181818182
5,5,78.595,33.985468181818185,28.61545909090909,124.83710341818183,4.600577272727271,2.4566909090909093,1902.108736363636,25.83792727272728,0.0,5.370009090909091
6,6,87.5,34.02920454545454,28.59654545454545,120.74252349090911,5.320672727272728,2.3688545454545458,2032.3616272727274,26.295204545454546,0.0,5.432659090909091
7,7,100.096,33.99312272727273,28.52810909090909,115.68532316363635,6.064663636363638,2.2603681818181816,2166.7402909090906,25.83514090909091,0.0,5.465013636363636
8,8,113.696,33.97762727272727,28.455590909090905,111.84162207272729,6.734522727272728,2.1779136363636367,2288.0493409090905,25.83407272727273,0.0,5.522036363636364
9,9,123.84200000000001,34.081354545454545,28.49643181818182,107.33110029090908,7.4345,2.0811545454545453,2414.456163636364,26.13171363636364,0.0,5.584922727272726
10,10,131.284,34.13395454545455,28.49830454545455,103.48231381818182,8.15760909090909,1.998590909090909,2539.8948045454545,25.82227727272728,0.0,5.635650000000003
11,11,139.94,34.13042727272727,28.4251,98.4596517090909,8.861572727272726,1.8908454545454545,2668.0508954545458,25.81439090909091,0.0,5.705327272727272
12,12,148.59,34.21823636363637,28.451127272727273,94.33816163636364,9.548204545454547,1.8024318181818182,2790.171881818181,25.73406363636364,0.0,5.767109090909091
13,13,158.259,34.261157142857144,28.404128571428572,90.53347874285711,10.16529523809524,1.7208142857142852,2903.597709523809,25.833152380952377,0.0,5.857028571428572
14,14,166.274,34.339400000000005,28.43805,86.49883367272729,10.794972727272727,1.6342636363636365,3006.7013545454547,25.719468181818186,0.0,5.90135
15,15,174.99200000000002,34.39076818181818,28.392150000000004,81.53952694545457,11.479731818181815,1.5278772727272731,3122.640059090909,26.32161363636364,0.0,5.9986181818181805
16,16,183.424,34.42309090909092,28.33962272727273,77.49071545454547,12.1191,1.4410227272727274,3229.0355636363633,26.044645454545456,0.0,6.08346818181818
17,17,192.623,34.49309090909091,28.265354545454553,72.80411232727273,12.715672727272727,1.3404863636363638,3332.1828454545453,25.672481818181826,0.0,6.227736363636364
18,18,205.53900000000002,34.62497272727273,28.23570454545455,67.65855349090909,13.332890909090908,1.2301045454545454,3439.112313636363,25.72065,0.0,6.389268181818182
19,19,215.262,34.687377272727275,28.22299545454545,64.22613265454544,13.867781818181815,1.156472727272727,3529.104890909089,25.843868181818177,0.0,6.464381818181818
20,20,224.703,34.65131363636363,28.11884545454546,60.11227065454546,14.508954545454545,1.0682227272727274,3637.428536363636,26.222595454545456,0.0,6.532468181818183
21,21,238.58700000000002,34.71378181818181,28.074818181818184,54.902296981818175,15.13586818181818,0.9564590909090908,3752.1658272727273,25.99975909090909,0.0,6.638963636363636
22,22,277.54200000000003,35.68863181818182,27.43050454545455,103.39670989090911,13.641581818181818,1.9967545454545457,3701.8876499999988,25.38645909090909,4.4949,8.258127272727274
23,23,287.461,35.644590476190466,27.456285714285716,108.16364994285715,12.98244761904762,2.099014285714286,3588.3951666666662,25.47382857142857,4.4949,8.18830476190476
24,24,298.459,35.569804545454545,27.44345909090909,112.67541280000002,12.348095454545454,2.1958,3475.157272727273,25.855836363636364,4.4949,8.126345454545456
25,25,306.415,35.54763181818183,27.50807272727273,116.09384883636365,11.794463636363636,2.2691318181818185,3379.023881818182,25.853413636363634,4.4949,8.039559090909092
26,26,315.363,35.50714090909091,27.516304545454545,121.27712425454547,11.1359,2.3803227272727274,3262.6112272727282,25.864272727272724,4.4949,7.990836363636363
27,27,323.79900000000004,35.46289545454545,27.5823,124.84833363636365,10.470295454545457,2.4569318181818183,3144.6848090909093,25.60511818181818,4.4949,7.880595454545456
28,28,331.975,35.44810454545455,27.64326363636364,128.92829309090908,9.803336363636364,2.544454545454545,3027.194213636364,25.681759090909093,4.4949,7.804840909090908
29,29,341.906,35.35235909090908,27.587777272727276,133.510434,9.174913636363641,2.64275,2916.666090909091,25.4447,4.4949,7.764581818181819
30,30,350.086,35.31857272727272,27.654363636363634,138.29641396363635,8.4824,2.7454181818181818,2793.073295454545,25.97261363636364,4.4949,7.66420909090909
31,31,358.006,35.3201,27.70376363636364,142.5958924,7.856690909090909,2.83765,2681.84225,25.38872272727273,4.4949,7.616336363636362
32,32,366.407,35.23159545454546,27.67350909090909,147.4553985090909,7.159704545454545,2.9418954545454543,2558.501122727273,25.70395909090909,4.494918181818182,7.558086363636364
33,33,386.965,35.79499090909092,27.440750000000005,100.2827610909091,14.339072727272727,1.9299545454545457,3816.877904545455,25.55332727272728,4.4953,8.354240909090908
34,34,394.153,35.833372727272724,27.354909090909096,95.94217581818182,15.01862727272727,1.8368409090909092,3935.59280909091,25.71666363636364,4.4953,8.478463636363637
35,35,403.616,35.851136363636364,27.250895454545454,91.45241934545457,15.604781818181822,1.7405272727272731,4035.463409090909,25.60719090909091,4.4953,8.600240909090907
36,36,413.061,35.963809090909095,27.27586363636363,86.52256545454547,16.245236363636366,1.6347727272727277,4144.6550409090905,25.50452272727273,4.4953,8.687945454545453
37,37,421.00699999999995,36.046440909090904,27.27784545454545,81.97856490909093,16.86209090909091,1.537295454545455,4248.600895454545,25.30213636363636,4.4953,8.768595454545455
38,38,429.207,36.16051363636364,27.25470909090909,77.58204043636363,17.492836363636364,1.442981818181818,4354.6721636363645,25.423472727272724,4.4953,8.905804545454545
39,39,438.881,36.232336363636364,27.181540909090916,73.12788163636363,18.061331818181813,1.347431818181818,4450.9949727272715,25.370177272727275,4.4953,9.050795454545458
40,40,446.32199999999995,36.267686363636365,27.0885,68.48111399999999,18.608054545454547,1.24775,4538.910177272725,25.36185909090909,4.4953,9.179186363636363
41,41,468.907,36.4143,27.09535,64.08861545454545,19.05125909090909,1.153522727272727,4609.922531818182,25.31275909090909,4.4953,9.31895
42,42,479.56800000000004,36.49456818181818,27.010631818181814,60.56720043636365,19.58351363636364,1.0779818181818184,4699.091181818181,25.32129090909091,4.4953,9.483936363636364
43,43,513.597,37.501740909090906,26.21627727272727,112.88963450909091,16.110518181818186,2.2003954545454545,4266.8834863636375,24.97737727272727,6.4934,11.285463636363636
44,44,526.243,37.46611818181817,26.275127272727275,116.80241203636363,15.573468181818185,2.284331818181818,4175.615736363637,25.04017272727273,6.4934,11.19099090909091
45,45,538.172,37.377677272727276,26.271590909090904,121.18579927272725,15.008972727272727,2.378363636363636,4076.262050000001,24.863581818181814,6.4934,11.106086363636363
46,46,546.618,37.29638181818182,26.26699090909091,125.43548334545456,14.421481818181816,2.469527272727273,3977.0637409090914,24.946818181818177,6.4934,11.029390909090907
47,47,556.073,37.27476818181817,26.33786363636364,130.15556523636366,13.834163636363638,2.5707818181818185,3876.091172727273,25.14922272727273,6.4934,10.936904545454547
48,48,564.75,37.166245454545454,26.338927272727272,134.12301061818178,13.225322727272728,2.6558909090909086,3771.685286363636,25.32499545454545,6.4934,10.827318181818182
49,49,573.6669999999999,37.14908181818182,26.3863,139.33340807272728,12.613154545454545,2.7676636363636367,3666.289518181818,25.33274090909091,6.4934,10.762781818181818
50,50,583.085,37.1102,26.453504545454553,142.74654683636365,12.048109090909092,2.8408818181818183,3576.347050000001,25.30670454545455,6.4934,10.656695454545458
51,51,592.023,37.0172,26.458640909090914,147.28143607272727,11.395518181818185,2.9381636363636363,3457.39265909091,25.295354545454543,6.4934,10.55855909090909
52,52,602.944,36.978145454545455,26.55242272727273,152.39521127272727,10.690672727272727,3.0478636363636364,3333.665931818182,25.150872727272723,6.4934,10.425722727272726
53,53,610.878,36.88625454545455,26.57750909090909,156.78919305454548,10.039104545454542,3.142122727272728,3218.4490909090914,24.93265909090909,6.4934,10.308745454545452
54,54,618.821,36.7794909090909,26.59363636363636,161.71523290909087,9.359736363636364,3.2477954545454537,3096.9507999999987,25.021554545454546,6.4934,10.185854545454543
55,55,628.726,36.688268181818174,26.65592727272728,166.2833890181818,8.593463636363637,3.345790909090909,2963.13985,25.139063636363634,6.4934,10.03234090909091
56,56,655.039,37.593540909090905,26.20194545454545,108.74865047272728,16.772354545454544,2.1115636363636363,4377.595436363637,24.957236363636365,6.4934,11.391595454545454
57,57,664.465,37.62686363636364,26.13769545454545,104.38348585454541,17.335931818181816,2.0179227272727265,4471.744600000001,24.93115454545455,6.4934,11.489168181818185
58,58,672.413,37.7505,26.14067727272727,100.68471814545455,17.936545454545453,1.9385772727272728,4571.352913636362,24.79469545454545,6.4934,11.609822727272727
59,59,681.847,37.786572727272734,26.08687727272727,95.92840290909092,18.55955909090909,1.8365454545454547,4675.216181818183,24.83433181818182,6.4934,11.699695454545456
60,60,689.052,37.86326818181818,26.040245454545456,91.58485116363639,19.11856363636364,1.7433681818181823,4771.331440909092,24.941895454545456,6.4934,11.823022727272727
61,61,696.257,37.91404545454545,26.002018181818183,86.85989578181818,19.699036363636363,1.642009090909091,4877.508749999999,24.84421818181818,6.4934,11.912027272727272
62,62,704.209,38.000640909090905,25.933431818181816,82.43328279999999,20.35286363636364,1.5470499999999996,4986.592122727272,25.002804545454545,6.4934,12.06720909090909
63,63,713.164,38.10365,25.878068181818186,78.91907207272726,20.995922727272728,1.4716636363636362,5093.730545454546,25.00432272727273,6.4934,12.225581818181816
64,64,759.33,38.65991818181818,25.544318181818184,134.70528683636365,15.293854545454547,2.6683818181818184,4210.143640909091,24.661627272727277,7.492700000000003,13.1156
65,65,770.253,38.56427727272728,25.548404545454545,139.26221272727275,14.723163636363635,2.766136363636364,4111.696995454544,24.755254545454545,7.492700000000003,13.015872727272727
66,66,778.445,38.46630909090909,25.55029090909091,142.94212214545456,14.190672727272727,2.845077272727273,4024.5272954545453,24.80447272727273,7.492700000000003,12.916018181818185
67,67,786.6610000000001,38.43850909090909,25.62956363636364,148.01182403636363,13.590613636363635,2.953831818181818,3920.219895454546,24.70176818181818,7.492700000000003,12.808945454545455
68,68,795.3510000000001,38.32829545454546,25.653059090909096,152.4108912,12.948449999999998,3.0482,3824.3683409090913,24.68694090909091,7.492700000000003,12.675236363636365
69,69,804.275,38.27321363636364,25.71838636363637,157.46915098181816,12.321681818181816,3.1567090909090907,3708.0913727272728,24.708672727272724,7.492700000000003,12.554827272727273
70,70,815.444,38.12813333333333,25.694657142857146,162.15896274285714,11.667090476190474,3.2573142857142856,3596.4388380952373,24.994723809523805,7.492700000000003,12.433476190476188
71,71,824.18,38.03103181818182,25.76447272727273,167.22482032727274,10.994263636363637,3.365986363636364,3475.988000000001,24.956313636363635,7.492700000000003,12.266559090909091
72,72,833.6189999999999,37.984722727272725,25.81335909090909,170.97338240000002,10.386454545454542,3.4464,3373.7723318181816,25.11090454545455,7.492700000000003,12.171363636363635
73,73,843.034,37.97016363636365,25.87069545454545,175.6529931272727,9.638477272727274,3.5467863636363632,3238.4747909090906,24.98138636363637,7.492700000000003,12.099468181818185
74,74,857.419,38.61935,25.41456363636364,129.85722283636363,15.818727272727273,2.5643818181818183,4300.38399090909,24.661831818181817,7.492700000000003,13.204786363636362
75,75,867.6289999999999,38.71990909090909,25.39367727272727,126.05971396363636,16.38157272727273,2.4829181818181816,4392.617977272727,24.474113636363636,7.492700000000003,13.326231818181816
76,76,877.317,38.82756818181818,25.40373181818182,122.06027305454548,16.92777727272727,2.397122727272728,4481.830050000001,24.44446363636364,7.492700000000003,13.423836363636363
77,77,887.275,38.89218636363636,25.36637272727273,117.52432436363632,17.45412272727273,2.299818181818181,4571.970590909091,24.39949090909091,7.492700000000003,13.525813636363635
78,78,895.5039999999999,38.92564090909092,25.330936363636365,113.49415927272729,17.928668181818182,2.2133636363636366,4653.877554545455,24.4607,7.492700000000003,13.594704545454546
79,79,902.7260000000001,39.018372727272734,25.31633181818182,109.40254581818182,18.46778181818182,2.125590909090909,4742.9362363636355,24.434445454545454,7.492700000000003,13.70204090909091
80,80,911.4630000000001,39.05894090909091,25.260786363636363,104.90961098181818,19.040086363636366,2.0292090909090907,4838.047127272727,24.548968181818186,7.492700000000003,13.798154545454548
81,81,921.159,39.18255454545454,25.24675,101.31996709090907,19.61461363636364,1.9522045454545451,4937.292345454544,24.642427272727275,7.492700000000003,13.935804545454545
82,82,929.357,39.231359090909095,25.203368181818174,96.28861745454547,20.19566363636364,1.8442727272727275,5030.636604545455,24.58692727272728,7.492700000000003,14.02799090909091
83,83,937.31,39.31357272727273,25.179136363636363,92.26947069090907,20.71840454545455,1.758054545454545,5118.50850909091,24.65081363636364,7.492700000000003,14.134436363636361
84,84,971.3939999999999,40.1462590909091,24.49291363636364,147.71602432727272,15.463177272727272,2.9474863636363637,4325.361081818181,24.125554545454545,8.491999999999997,15.653345454545455
85,85,980.6110000000001,40.06272727272727,24.49429545454545,152.68317101818184,14.890586363636361,3.0540409090909093,4229.668868181819,24.263059090909096,8.491999999999997,15.568431818181818
86,86,990.572,39.99222727272728,24.543081818181815,158.0774897818182,14.26761818181818,3.1697590909090914,4126.187090909091,24.16769090909091,8.491999999999997,15.449145454545453
87,87,1000.03,39.9302,24.57793333333333,162.14164822857146,13.681866666666668,3.2569428571428576,4025.5903,24.324942857142858,8.491999999999999,15.352266666666665
88,88,1009.305,39.93453333333334,24.677657142857147,166.85319394285713,13.042209523809525,3.3580142857142854,3921.3604285714287,24.12871904761905,8.491999999999999,15.256876190476193
89,89,1018.811,39.86626818181819,24.68404090909091,171.14268323636367,12.514004545454545,3.450031818181819,3836.295431818181,24.17308636363636,8.491999999999997,15.182227272727268
90,90,1027.806,39.789609090909096,24.65072272727273,176.23887149090908,11.870145454545453,3.559354545454545,3723.9596681818184,24.410590909090914,8.491999999999997,15.138886363636365
91,91,1043.5389,40.239314285714286,24.46699523809524,142.95339272380954,16.10975238095238,2.845319047619048,4441.2956952380955,24.106457142857145,8.491999999999999,15.772319047619044
92,92,1053.295,40.29993636363636,24.43649090909091,139.42049523636362,16.574986363636366,2.769531818181818,4519.772013636364,23.97975909090909,8.491999999999997,15.863445454545454
93,93,1061.5469,40.371095454545454,24.39853636363637,134.96612454545453,17.120413636363637,2.6739772727272726,4607.631186363637,24.00591363636364,8.491999999999997,15.972559090909087
94,94,1076.5379,40.413052380952365,24.29903333333333,130.7195784761905,17.680171428571427,2.5828809523809526,4703.658961904764,24.0277,8.491999999999999,16.114019047619053
95,95,1101.056,40.45871818181819,24.257531818181814,125.9395718181818,18.180995454545453,2.4803409090909088,4784.747027272729,24.11062272727273,8.491999999999997,16.201186363636364
96,96,1128.062,40.64213333333335,24.259542857142854,121.33710956190478,18.716366666666666,2.3816095238095243,4876.292828571429,24.154423809523806,8.491999999999999,16.382590476190472
97,97,1141.805,40.719323809523814,24.21092857142857,118.02071413333333,19.242833333333326,2.3104666666666667,4961.077714285714,24.16832857142857,8.491999999999999,16.50839523809524
98,98,1153.552,40.765613636363646,24.18045909090909,113.34096214545453,19.607618181818182,2.2100772727272724,5027.80804090909,24.051068181818174,8.491999999999997,16.585154545454547
99,99,1177.52,40.80665454545454,24.093786363636365,109.27689450909097,20.156154545454548,2.1228954545454557,5111.807768181819,24.13698181818182,8.491999999999997,16.712868181818177
100,100,1192.0009,40.89390454545456,24.072495454545454,105.96249690909093,20.685477272727272,2.051795454545455,5196.010568181819,24.22298636363637,8.491999999999997,16.82140909090909
